Name,Price,Emi Price,Registration Year,Kms Driven,Fuel Type,Registration States
2021 Land Rover Discovery Sport R Dynamic SE,"₹49,00,000","₹84,256.09",2021,27500,Petrol,Tamil Nadu
2021 Mercedes Benz A200d,"₹30,00,000","₹51,585.36",Unregistered,5300,Diesel,No info
2023 Porsche Taycan GTS,"₹1,59,00,000","₹2,73,402.41",2023,520,Electric,Tamil Nadu
2022 Harley Davidson Fat Boy,"₹18,50,000","₹31,810.97",2022,540,Petrol,Punjab
2023 Porsche Cayenne Coupe,"₹1,45,00,000","₹2,49,329.24",2023,11000,Petrol,HP
2023 Porsche Taycan 4S Cross Tourismo,"₹1,09,00,000","₹1,87,426.81",2023,2400,Electric,Maharashtra
2020 Audi Etron 55,"₹55,00,000","₹94,573.16",2021,13700,Electric,Maharashtra
2022 Rolls Royce Phantom 8,"₹11,99,00,000","₹20,61,694.92",2022,2500,Petrol,Maharashtra
2021 AUDI Q7 Premium Plus 55 TFSI,"₹62,00,000","₹1,06,609.75",2021,42600,Petrol,HP
2021 Porsche Taycan RWD,"₹89,00,000","₹1,53,036.57",2022,25000,Electric,Maharashtra
2020 BMW R18 First Edition,"₹17,00,000","₹29,231.7",2022,280,Petrol,Punjab
2019 Volvo S90 Inscription,"₹35,00,000","₹60,182.92",2020,38500,Diesel,HP
2021 PORSCHE MACAN,"₹72,00,000","₹1,23,804.87",2022,15600,Petrol,Haryana
2017 BMW 520d Luxury Line,"₹30,00,000","₹51,585.36",2017,35200,Diesel,Punjab
2021 Ducati xDiavel Black Star,"₹15,99,000","₹27,495",Unregistered,0,Petrol,No info
2022 Mini Countryman Cooper S JCW Inspired,"₹34,00,000","₹58,463.41",2023,26500,Petrol,Maharashtra
2022 AUDI Q5 Premium Plus 45 TFSI,"₹45,50,000","₹78,237.8",2023,20000,Petrol,UP
2018 Rolls Royce Phantom VIII 1 of 1,"₹8,99,00,000","₹15,45,841.32",2018,12700,Petrol,Delhi
2020 Audi Etron 55,"₹55,00,000","₹94,573.16",2021,20500,Electric,Maharashtra
2020 Mercedes Benz C220d,"₹35,00,000","₹60,182.92",Unregistered,15500,Diesel,No info
2016 BENTLEY FLYING SPUR V8,"₹1,39,00,000","₹2,39,012.17",2016,18700,Petrol,Chandigarh
